Apdx,Table,A1,A2,A3,A4,Ref1(formula),D,Ref2(formula),Reference,Mandatory,Table / Activity,Aspect1,Aspect2,Aspect3,Aspect4,Aspect5,Detail to specify if used/applicable,Mandatory,Included in Carp2012,% of studies that informed it,% of studies that informed it (structural),Format1,Format2,Format3,choices_level1,choices_level2,For meta-analysis,Notes
D,01,04,03,00,00,D01.04.03.00.00,01,D01.04.03.00.00.01,D01.04.03.00.00.01,Y,Experimental Design,Inclusion criteria and descriptive statistics (by group),Education,,,,Education is essential for studies comparing patient and control groups;,Y,,,,,,,Measurement instrument,,Y,NECESSARY TO DESCRIBE SAMPLE. IMPORTANT IF RUNNING META-ANALYSIS where education is important. For instance on cognitive reserve
D,01,04,04,00,00,D01.04.04.00.00,01,D01.04.04.00.00.01,D01.04.04.00.00.01,,Experimental Design,Inclusion criteria and descriptive statistics (by group),SES,,,,"complete SES reporting less important for single­ group studies, but still useful. Specify measurement instrument used; may be parental SES and education if study has minors",Y,,,,,,,Measurement instrument,,,
D,01,04,05,00,00,D01.04.05.00.00,01,D01.04.05.00.00.01,D01.04.05.00.00.01,N,Experimental Design,Inclusion criteria and descriptive statistics (by group),IQ,,,,Specify measurement instrument used,N,,,,string,,,,,Y,"NECESSARY TO DESCRIBE SAMPLE. IMPORTANT IF RUNNING META-ANALYSIS ON PATHOLOGIES THAT MIGHT IMPACT ON INTELLIGENCE, OTHERWISE NOT NECESSARY"
D,01,04,06,00,00,D01.04.06.00.00,01,D01.04.06.00.00.01,D01.04.06.00.00.01,Y,Experimental Design,Inclusion criteria and descriptive statistics (by group),Handedness,,,,Percentage of right handed in the study,Y,handed,67,,numeric,,,,,,
,,,,,,,,,,,,,Handedness,basis of handedness­ attribution,,,,,,,,nominal,,,"self report, EHI, other",,,
D,01,04,07,00,00,D01.04.07.00.00,01,D01.04.07.00.00.01,D01.04.07.00.00.01,Y,Experimental Design,Inclusion criteria and descriptive statistics (by group),Exclusion criteria,,,,"Describe any screening criteria, including those applied to “normal” sample such as MRI exclusion criteria",Y,criteria; rejectreason,79; 28,,string,,,,,,
D,01,04,08,00,00,D01.04.08.00.00,01,D01.04.08.00.00.01,D01.04.08.00.00.01,Y,Experimental Design,Inclusion criteria and descriptive statistics (by group),Clinical criteria,,,,"Detail the area of recruitment (in­ vs. outpatient setting, community hospital vs. tertiary referral center etc.) as well as whether patients were currently in treatment",Y,,,,string,,,,,,
D,01,04,09,00,00,D01.04.09.00.00,01,D01.04.09.00.00.01,D01.04.09.00.00.01,Y,Experimental Design,Inclusion criteria and descriptive statistics (by group),Clinical instruments,,,,"Describe the instruments used to obtain the diagnosis and provide tests of intra­ or inter-­rater reliability. Clarify whether a “clinical diagnosis” or “inventory diagnosis” was used (if applicable). State the diagnostic system (ICD, DSM etc.) that was used",Y,,,,string,,,,,Maybe,"Useful if meta-analysis is on cognitive variables, otherwise not"
D,01,04,10,00,00,D01.04.10.00.00,01,D01.04.10.00.00.01,D01.04.10.00.00.01,Y,Experimental Design,Inclusion criteria and descriptive statistics (by group),Matching strategy,,,,Describe how groups were matched,Y,grpequate,32,,string,,,,,,
D,01,04,11,00,00,D01.04.11.00.00,01,D01.04.11.00.00.01,D01.04.11.00.00.01,Y,Experimental Design,Inclusion criteria and descriptive statistics (by group),Population & recruitment strategy,,,,"Population from which subjects were drawn, and how and where recruitment took place, e.g., schools, clinics, etc. If possible, note if subjects are research­ naive or have participated in other studies before",Y,,,,string,,,,,,
D,01,04,12,00,00,D01.04.12.00.00,01,D01.04.12.00.00.01,D01.04.12.00.00.01,Y,Experimental Design,Inclusion criteria and descriptive statistics (by group),Subject scanning order,,,,"With multiple groups, information on ordering and or balance over time; especially report relative to scanner changes/upgrades. (Ideally, use randomized or interleaved order to avoid bias due to scanner changes/upgrades)",Y,,,,string,,,,,,
D,01,04,13,00,00,D01.04.13.00.00,01,D01.04.13.00.00.01,D01.04.13.00.00.01,Y,Experimental Design,Inclusion criteria and descriptive statistics (by group),Neurocognitive measures,,,,All measures collected on subjects should be described and reported,Y,,,,string,,,,,Maybe,Relevant only if the meta-analysis is on these features
D,01,05,01,00,00,D01.05.01.00.00,01,D01.05.01.00.00.01,D01.05.01.00.00.01,Y,Experimental Design,Ethical considerations,Ethical approval,,,,"Describe approval given, including the particular institutional review board, medical ethics committee or equivalent that granted the approval. When data is shared, describe the ethics/institutional approvals required from either the author (source) or recipient",Y,irbapprove,83.4,,string,,,,,,
D,01,05,02,00,00,D01.05.02.00.00,01,D01.05.02.00.00.01,D01.05.02.00.00.01,Y,Experimental Design,Ethical considerations,Informed consent,,,,"Record whether subjects provided informed consent or, if applicable, informed assent",Y,,,,boolean,,,,,,
D,01,06,01,01,00,D01.06.01.01.00,01,D01.06.01.01.00.01,D01.06.01.00.00.01,Y,Experimental Design,Design specifications,Design type,rest or task,,,,Y,destype,83.2,,boolean,,,,,Y,NECESSARY FOR STUDY SELECTION
D,01,06,01,02,00,D01.06.01.02.00,01,D01.06.01.02.00.01,,,Experimental Design,Design specifications,Design type,task type,,,,,,,,nominal,,,"block design, event related design, mixed",,,
D,01,06,02,00,00,D01.06.02.00.00,01,D01.06.02.00.00.01,D01.06.02.00.00.01,Y,Experimental Design,Design specifications,Condition & stimuli,,,,"Clearly describe each condition and the stimuli used. Be sure to completely describe baseline (e.g. blank white/black screen, presence of fixation cross, or any other text), especially for resting ­state studies. When possible provide images or screen snapshots of the stimuli",Y,,,,string,,,,,Y,RELEVANT TO DESCRIBE THE INCLUDED STUDIES
D,01,06,03,00,00,D01.06.03.00.00,01,D01.06.03.00.00.01,D01.06.03.00.00.01,Y,Experimental Design,Design specifications,Number experimental units,,,,"Specify per session, and if differing by subject, summary statistics (mean, range and/or standard deviation) of such counts",Y,ntrials,50.9,,"numeric, numeric",,,,,,
D,01,06,04,01,00,D01.06.04.01.00,01,D01.06.04.01.00.01,D01.06.04.01.00.01,Y,Experimental Design,Design specifications,Timing and duration,block length,,,"Length of each trial or block (both, if trials are blocked)",Y,blocklength,58,,numeric,,,,,,
D,01,06,04,02,00,D01.06.04.02.00,01,D01.06.04.02.00.01,D01.06.04.02.00.01,,Experimental Design,Design specifications,Timing and duration,trial duration,,,interval between trials,Y,trialdur,60,,numeric,,,,,,
D,01,06,04,03,00,D01.06.04.03.00,01,D01.06.04.03.00.01,D01.06.04.03.00.01,,Experimental Design,Design specifications,Timing and duration,intertrial interval,,,"Provide the timing structure of the events in the task, whether a random / jittered pattern or a regular arrangement; any jittering of block onsets",Y,itirange,59,,string,,,,,,
D,01,06,05,01,00,D01.06.05.01.00,01,D01.06.05.01.00.01,D01.06.05.01.00.01,Y,Experimental Design,Design specifications,Length of the experiment,total scanning time,,,Important to assess subject fatigue,Y,,,,numeric,,,,,MAYBE,IMPORTANT IF META-ANALYSIS ON SYNDROME WITH HIGH LEVEL OF FATIGUE. MIGHT BE CONSIDER AS EXCLUSION CRITERIA
D,01,06,05,02,00,D01.06.05.02.00,01,D01.06.05.02.00.01,D01.06.05.02.00.01,,Experimental Design,Design specifications,Length of the experiment,number of functional runs,,,,Y,nruns,68.9,,numeric,,,,,,
D,01,06,05,03,00,D01.06.05.03.00,01,D01.06.05.03.00.01,D01.06.05.03.00.01,,Experimental Design,Design specifications,Length of the experiment,duration of each run,,,,Y,,,,,,,,,,
D,01,06,06,00,00,D01.06.06.00.00,01,D01.06.06.00.00.01,D01.06.06.00.00.01,Y,Experimental Design,Design specifications,Design optimization,,,,"Whether design was optimized for efficiency, and how",Y,optmethod,5.9,,boolean,string,,,,,
D,01,06,07,01,00,D01.06.07.01.00,01,D01.06.07.01.00.01,D01.06.07.01.00.01,Y,Experimental Design,Design specifications,Presentation software,name,,,,Y,taskprog,39,,string,,,,,Y,FOR DESCRIPTION
D,01,06,07,02,00,D01.06.07.02.00,01,D01.06.07.02.00.01,D01.06.07.02.00.01,,Experimental Design,Design specifications,Presentation software,version,,,,Y,,,,string,,,,,,
D,01,06,07,03,00,D01.06.07.03.00,01,D01.06.07.03.00.01,D01.06.07.03.00.01,,Experimental Design,Design specifications,Presentation software,operating system,,,,Y,,,,string,,,,,,
D,01,06,07,04,00,D01.06.07.04.00,01,D01.06.07.04.00.01,D01.06.07.04.00.01,,Experimental Design,Design specifications,Presentation software,URL to code,,,,Y,,,,string,,,,,,
D,01,07,01,00,00,D01.07.01.00.00,01,D01.07.01.00.00.01,D01.07.01.00.00.01,Y,Experimental Design,Task specification,Condition,,,,"Enumerate the conditions and fully describe and reference each. Consider using a shorthand name, e.g. AUDSTIM, VISSTIM, to refer to each condition, to clarify the distinction between a specific modelled effect and a psychological construct. Naming should reflect the distinction between instruction periods and actual stimuli, and between single parameters and contrasts of parameters",Y,,,,string,,,,,,
D,01,07,02,00,00,D01.07.02.00.00,01,D01.07.02.00.00.01,D01.07.02.00.00.01,Y,Experimental Design,Task specification,Instructions,,,,"Specify the instructions given to subjects for each condition (ideally the exact text in supplement or appendix). For resting ­state, be sure to indicate eyes­ closed, eyes­ open, any fixation. Describe if the subjects received any rewards during the task, and state if there was a familiarization / training inside or outside the scanner",Y,,,,string,,,,,Y,FOR INCLUSION CRITIERIA
D,01,07,03,00,00,D01.07.03.00.00,01,D01.07.03.00.00.01,D01.07.03.00.00.01,Y,Experimental Design,Task specification,Stimuli,,,,"Specifics of stimuli used in each run. For example, the unique number of stimuli used, and whether/how stimuli were repeated over trials or conditions",Y,,,,,,,,,Y,FOR INCLUSION CRITERIA
D,01,07,04,00,00,D01.07.04.00.00,01,D01.07.04.00.00.01,D01.07.04.00.00.01,Y,Experimental Design,Task specification,Randomization,,,,"Describe block or event ordering as deterministic, or report manner of randomization, in terms of order and timing. If pseudo­randomized, i.e. under constraints, describe how and the criteria used to constrain the orders/timings",Y,ititype; itidist,65; 7,,nominal,"numbox, string",,"deterministic, random, pseudorandom","For deterministic: iti distritbution and blocklength: numeric, For random and pseudorandom: string",,
D,01,07,05,00,00,D01.07.05.00.00,01,D01.07.05.00.00.01,D01.07.05.00.00.01,Y,Experimental Design,Task specification,Stimulus presentation,,,,"Specify the presentation hardware (e.g. back projection, in­ room display, goggles, etc.)",Y,,,,string,,,,,,
D,01,07,06,00,00,D01.07.06.00.00,01,D01.07.06.00.00.01,D01.07.06.00.00.01,,Experimental Design,Task specification,Response collection,,,,"Response systems (e.g. button boxes, eye tracking, physiology)",Y,,,,,,,,,,
D,01,07,07,00,00,D01.07.07.00.00,01,D01.07.07.00.00.01,D01.07.07.00.00.01,Y,Experimental Design,Task specification,Stimulus presentation & response collection.,,,,"Note how equipment was sbooleanched to the scanner (e.g. scanner TTL, or manual sbooleanc)",Y,,,,string,,,,,,
D,01,07,08,00,00,D01.07.08.00.00,01,D01.07.08.00.00.01,D01.07.08.00.00.01,Y,Experimental Design,Task specification,Run order,,,,Order in which tasks runs are conducted in the scanner,Y,,,,string,,,,,,
D,01,08,01,00,00,D01.08.01.00.00,01,D01.08.01.00.00.01,D01.08.01.00.00.01,Y,Experimental Design,Power analysis,Power parameters,,,,Effect size (or effect magnitude and standard deviation separately),Y,,,,,,,,,,
D,01,08,02,00,00,D01.08.02.00.00,01,D01.08.02.00.00.01,D01.08.02.00.00.01,Y,Experimental Design,Power analysis,Outcome,,,,"The type of outcome used as the basis of power computations, e.g. signal in a pre­specified ROI, or whole image voxelwise (or cluster­wise, peak­wise, etc.)",Y,,,,string,,,,,Y,FOR INCLUSION/EXCLUSION CRITERIA
D,01,08,03,00,00,D01.08.03.00.00,01,D01.08.03.00.00.01,D01.08.03.00.00.01,Y,Experimental Design,Power analysis,Power parameters,,,,"Source of predicted effect size (previous literature with citation; pilot data with description, etc.)",Y,,,,string,,,,,Y,IMPORTANT FOR ANALYSIS WITH SOFTWARE LIKE SDM
D,01,08,03,00,00,D01.08.03.00.00,02,D01.08.03.00.00.02,D01.08.03.00.00.02,Y,Experimental Design,Power analysis,Power parameters,,,,"Significance level (e.g. uncorrected alpha 0.05 for an ROI, or FWE­corrected significance",Y,,,,numeric,string,,,,,
D,01,08,03,00,00,D01.08.03.00.00,03,D01.08.03.00.00.03,D01.08.03.00.00.03,Y,Experimental Design,Power analysis,Power parameters,,,,Target power (typically 80%),Y,,,,numeric,,,,,Y,IMPORTNAT FOR SUB-ANALYSIS (SEE CONA & SCARPAZZA 2019)
D,01,08,03,00,00,D01.08.03.00.00,04,D01.08.03.00.00.04,D01.08.03.00.00.04,Y,Experimental Design,Power analysis,Power parameters,,,,Any other parameters set (e.g. for spatial methods a brain volume and smoothness may be needed to be specified),Y,,,,,,,,,,
D,01,09,01,00,00,D01.09.01.00.00,01,D01.09.01.00.00.01,D01.09.01.00.00.01,Y,Experimental Design,Behavioral performance,Variables recorded,,,,"State number of type of variables recorded (e.g. correct button press, response time)",Y,,,,string,,,,,Y,IMPORTANT TO DESCRIBE STUDIES OR FOR INCLUSION CRITERIA
D,01,09,02,00,00,D01.09.02.00.00,01,D01.09.02.00.00.01,D01.09.02.00.00.01,Y,Experimental Design,Behavioral performance,Summary statistics,,,,"Summaries of behavior sufficient to establish that subjects were performing the task as expected. For example, correct response rates and/or response times, summarized over subjects (e.g. mean, range and/or standard deviation)",Y,,,,string,,,,,Y,relevant for inclusion/exclusion criteria
D,02,01,01,00,00,D02.01.01.00.00,01,D02.01.01.00.00.01,D02.01.01.00.00.01,N,Acquisition,Subject preparation,Mock scanning,,,,"Use of an MRI simulator to acclimate subjects to scanner environment. Report type of mock scanner and protocol (i.e. duration, types of simulated scans, experiments)",N,,,,boolean,string,,,,,
D,02,01,02,00,00,D02.01.02.00.00,01,D02.01.02.00.00.01,D02.01.02.00.00.01,Y,Acquisition,Subject preparation,Special accommodations,,,,"For example, for pediatric scanning, presence of parent/guardian in the room",Y,,,,string,,,,,,
D,02,01,03,00,00,D02.01.03.00.00,01,D02.01.03.00.00.01,D02.01.03.00.00.01,N,Acquisition,Subject preparation,Experimenter personnel,,,,Whether a single or multiple experimenters interacted with the subjects,N,,,,nominal,,,Whether a single or multiple experimenters interacted with the subjects,,,
D,02,02,01,01,00,D02.02.01.01.00,01,D02.02.01.01.00.01,D02.02.01.01.00.01,Y,Acquisition,MRI system description,Scanner,make,,,,Y,,,,nominal,,,,,Y,relevant for inclusion/exclusion criteria or sub-analysis
D,02,02,01,02,00,D02.02.01.02.00,01,D02.02.01.02.00.01,D02.02.01.02.00.01,,Acquisition,MRI system description,Scanner,model,,,,Y,,,,nominal,,,,,Y,
D,02,02,01,03,00,D02.02.01.03.00,01,D02.02.01.03.00.01,D02.02.01.03.00.01,,Acquisition,MRI system description,Scanner,field strength,,,in tesla,Y,,,,numeric,,,,,Y,
D,02,02,02,00,00,D02.02.02.00.00,01,D02.02.02.00.00.01,D02.02.02.00.00.01,Y,Acquisition,MRI system description,Coil,,,,"Receive coil (e.g. “a 12­ channel phased array coil”, but more details for a custom coil) and (if nonstandard) transmit coil. Additional information on the gradient system, e.g. gradient strength (if non­standard for the make and model, or switchable)",Y,,,,nominal,stringbox,,standard or non-standard,"for standard: receive coil, for non-standard openfield",,
D,02,02,03,00,00,D02.02.03.00.00,01,D02.02.03.00.00.01,D02.02.03.00.00.01,N,Acquisition,MRI system description,Significant hardware modifications,,,,"For example, special gradient inserts/sets",N,,,,string,,,,,,
D,02,02,04,00,00,D02.02.04.00.00,01,D02.02.04.00.00.01,D02.02.04.00.00.01,N,Acquisition,MRI system description,Software version,,,,"Highly recommended when sharing vendor-specific protocols or exam cards, as version may be needed to correctly interpret that information",N,,,,string,,,,,,
D,02,03,01,00,00,D02.03.01.00.00,01,D02.03.01.00.00.01,D02.03.01.00.00.01,Y,Acquisition,MRI acquisition,Pulse sequence type,,,,,Y,pulseseq,93.7,95,nominal,,,"gradient echo, spin echo, other",,,
D,02,03,02,00,00,D02.03.02.00.00,01,D02.03.02.00.00.01,D02.03.02.00.00.01,Y,Acquisition,MRI acquisition,Imaging type,,,,,Y,,,,nominal,,,"echo-planar imaging, spiral, 3D, other",,,
D,02,03,02,00,00,D02.03.02.00.00,02,D02.03.02.00.00.02,D02.03.02.00.00.02,Y,Acquisition,MRI acquisition,Imaging type,,,,Number of shots (if multi­shot); partial Fourier scheme & reconstruction method (if used),Y,,,,string,,,Number of shots (if multi­shot); partial Fourier scheme & reconstruction method (if used),,,
D,02,03,03,01,01,D02.03.03.01.01,01,D02.03.03.01.01.01,D02.03.03.01.01.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,All acquisitions,echo time (TE),,in ms,Y,te,95.4,55,numeric,,,,,,
D,02,03,03,01,02,D02.03.03.01.02,01,D02.03.03.01.02.01,D02.03.03.01.02.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,All acquisitions,repetition time (TR),,in ms,Y,tr,98.8,55,numeric,,,,,,
D,02,03,03,01,03,D02.03.03.01.03,01,D02.03.03.01.03.01,D02.03.03.01.03.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,All acquisitions,flip angle (FA),,,Y,angle,70,42,numeric,,,,,,
D,02,03,03,01,04,D02.03.03.01.04,01,D02.03.03.01.04.01,D02.03.03.01.04.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,All acquisitions,voxel dimension,,in mm,Y,voxdim,41.9,50,"numeric, numeric, numeric",,,,,,
D,02,03,03,01,05,D02.03.03.01.05,01,D02.03.03.01.05.01,D02.03.03.01.05.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,All acquisitions,Acquisition time (duration of acquisition),,,Y,,,,numeric,,,,,,
D,02,03,03,01,06,D02.03.03.01.06,01,D02.03.03.01.06.01,D02.03.03.01.06.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,All acquisitions,Time per volume,,,Y,,,,numeric,,,,,,
D,02,03,03,02,01,D02.03.03.02.01,01,D02.03.03.02.01.01,D02.03.03.02.01.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Functional MRI,number of volumes,,,Y,nbvol,50,,numeric,,,,,,
D,02,03,03,02,02,D02.03.03.02.02,01,D02.03.03.02.02.01,D02.03.03.02.02.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Functional MRI,Sparse sampling delay (delay in TR) if used,,,Y,,,,numeric,,,,,,
D,02,03,03,03,01,D02.03.03.03.01,01,D02.03.03.03.01.01,D02.03.03.03.01.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Inversion recovery sequences,Inversion time (TI),,,Y,,,,numeric,,,,,,
D,02,03,03,04,01,D02.03.03.04.01,01,D02.03.03.04.01.01,D02.03.03.04.01.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,B0 field maps,Echo time difference (dTE),,,Y,,,,numeric,,,,,,
D,02,03,03,05,01,D02.03.03.05.01,01,D02.03.03.05.01.01,D02.03.03.05.01.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Diffusion MRI,Number of directions,,,Y,,,,numeric,,,,,,
D,02,03,03,05,02,D02.03.03.05.02,01,D02.03.03.05.02.01,D02.03.03.05.02.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Diffusion MRI,"Direction optimization, if used and type",,,Y,,,,boolean,string,,Was direction optimization used?,,,
D,02,03,03,05,03,D02.03.03.05.03,01,D02.03.03.05.03.01,D02.03.03.05.03.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Diffusion MRI,B-values,,,Y,,,,numeric,,,,,,
D,02,03,03,05,04,D02.03.03.05.04,01,D02.03.03.05.04.01,D02.03.03.05.04.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Diffusion MRI,Number of b=0 images,,,Y,,,,numeric,,,,,,
D,02,03,03,05,05,D02.03.03.05.05,01,D02.03.03.05.05.01,D02.03.03.05.05.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Diffusion MRI,Number of averages (if any),,,Y,,,,numeric,,,,,,
D,02,03,03,05,06,D02.03.03.05.06,01,D02.03.03.05.06.01,D02.03.03.05.06.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Diffusion MRI,"Single shell, multi­shell (specify equal or unequal spacing)",,,Y,,,,nominal,,,"Single shell, multi­shell (specify equal or unequal spacing)",,,
D,02,03,03,05,07,D02.03.03.05.07,01,D02.03.03.05.07.01,D02.03.03.05.07.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Diffusion MRI,"Single­ or dual­-spin-­echo, gradient mode (serial or parallel)",,,Y,,,,nominal,string,,"Single­ or dual­-spin-­echo, gradient mode (serial or parallel)",,,
D,02,03,03,05,08,D02.03.03.05.08,01,D02.03.03.05.08.01,D02.03.03.05.08.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Diffusion MRI,If cardiac gating used,,,Y,,,,boolean,,,Was cardiac gating used?,,,
D,02,03,03,06,01,D02.03.03.06.01,01,D02.03.03.06.01.01,D02.03.03.06.01.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Imaging parameters,field of view,,,Y,fov,63,45,numeric,,,,,,
D,02,03,03,06,02,D02.03.03.06.02,01,D02.03.03.06.02.01,D02.03.03.06.02.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Imaging parameters,in-plane matrix size for 2D acquisitions,,,Y,mtx,65,36.6,"numeric, numeric",,,,,,
D,02,03,03,06,03,D02.03.03.06.03,01,D02.03.03.06.03.01,D02.03.03.06.03.01,,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Imaging parameters,number of slices,,,Y,nbslic,93,40.3,numeric,,,,,,
D,02,03,03,06,04,D02.03.03.06.04,01,D02.03.03.06.04.01,D02.03.03.06.04.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Imaging parameters,slice thickness for 2D acquisitions,,in mm,Y,sthick,75,55,numeric,,,,,,
D,02,03,03,06,05,D02.03.03.06.05,01,D02.03.03.06.05.01,D02.03.03.06.05.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Imaging parameters,interslice gap for 2D acquisitions,,in mm,Y,gap,50,,numeric,,,,,,
D,02,03,03,06,00,D02.03.03.06.00,01,D02.03.03.06.00.01,D02.03.03.06.00.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Imaging parameters,,,"3D matrix size, for 3D acquisitions",Y,,,,numeric,,,,,,
D,02,03,03,06,01,D02.03.03.06.01,01,D02.03.03.06.01.01,D02.03.03.06.01.01,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Imaging parameters,Slice orientation,,,Y,orient,77,38.7,nominal,,,"axial, sagittal, coronal, oblique",,,
D,02,03,03,06,01,D02.03.03.06.01,02,D02.03.03.06.01.02,D02.03.03.06.01.02,Y,Acquisition,MRI acquisition,Essential sequence & imaging parameters,Imaging parameters,Slice orientation,,"Angulation: If acquisition not aligned with scanner axes, specify angulation to AC­PC line (see Slice position procedure)",Y,,,,boolean,string,,Is acquisition aligned with scanner axes?,,,
D,02,03,04,00,00,D02.03.04.00.00,01,D02.03.04.00.00.01,D02.03.04.00.00.01,Y,Acquisition,MRI acquisition,Phase encoding,,,,Specify phase encoding direction,Y,,,,nominal,,,"A/P, P/A, L/R, S/I, other",,,
D,02,03,04,00,00,D02.03.04.00.00,02,D02.03.04.00.00.02,D02.03.04.00.00.02,Y,Acquisition,MRI acquisition,Phase encoding,,,,"For 3D, specify “partition encode” (aka slice) direction",Y,,,,string,,,,,,
D,02,03,04,00,00,D02.03.04.00.00,03,D02.03.04.00.00.03,D02.03.04.00.00.03,Y,Acquisition,MRI acquisition,Phase encoding,,,,Phase encoding reversal,Y,,,,boolean,choice,,Is phase encoding reversal used?,"blip-up, blip-down",,
D,02,03,05,00,00,D02.03.05.00.00,01,D02.03.05.00.00.01,D02.03.05.00.00.01,Y,Acquisition,MRI acquisition,Parallel imaging method & parameters,,,,"Method, e.g. SENSE, GRAPPA or other parallel imaging method, and acceleration factor",Y,,,,choice,numeric,,"N/A, GRAPPA, SENSE, other",,,
D,02,03,05,00,00,D02.03.05.00.00,02,D02.03.05.00.00.02,D02.03.05.00.00.02,Y,Acquisition,MRI acquisition,Parallel imaging method & parameters,,,,"Matrix coil mode, and coil combining method (if non­standard)",Y,,,,string,,,"Matrix coil mode, and coil combining method (if non­standard)",,,
